id,course_information,postgraduate_or_undergraduate,field_of_education,age,gender,citizenship,term_residence,permanent_residence,basis_for_admission,type_of_attendance,mode_of_attendance,country_of_birth,language_spoken_at_home,year_of_arrival_in_usa,entrance_score,equity_data,highest_level_of_education_prior_to_commencement,course_completion_year,course_gpa_earned
675,Global MISM,Undergraduate,Public Administration,16/11/1988,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2008,325,,Post-graduate,2011,3.99
676,Global PPM,Undergraduate,IT,31/08/1985,Male,India,India,India,GRE,Part-time,External,India,Hindi,2007,314,,Diploma,2012,3.7
677,MISM,Postgraduate,Mathematics,14/05/1982,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2007,340,Women in non-traditional areas,Diploma,2012,3.43
678,Global PPM,Postgraduate,Public Administration,7/10/1991,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2012,329,,Post-graduate,2013,3.67
679,Global MISM,Postgraduate,Medicine,23/06/1988,Female,India,India,India,GRE,Full-time,External,India,Hindi,2012,319,,Professional Certification,2014,3.65
680,Global PPM,Undergraduate,Psychology,29/10/1996,Male,India,India,India,GRE,Part-time,External,India,Hindi,2007,315,,Post-graduate,2014,3.82
681,Global MISM,Postgraduate,IT,19/05/1988,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2011,332,,Professional Certification,2014,3.9
682,Global PPM,Undergraduate,Mathematics,24/09/1993,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2009,333,Women in non-traditional areas,Baccalaureate,2013,3.44
683,MSIT,Undergraduate,Computer Science,19/01/1981,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2011,334,,Baccalaureate,2011,3.42
684,MSIT,Postgraduate,Mathematics,7/8/1992,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2012,335,,Professional Certification,2012,3.51
685,Global PPM,Undergraduate,Psychology,8/1/1990,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2012,305,,Post-graduate,2010,3.85
686,PPM,Undergraduate,Computer Science,19/12/1994,Male,India,India,India,GRE,Part-time,External,India,Hindi,2010,305,,Baccalaureate,2014,3.88
687,PPM,Undergraduate,Mathematics,2/3/1992,Female,India,India,India,GRE,Full-time,External,India,Hindi,2012,336,,Diploma,2012,3.4
688,Global MISM,Postgraduate,IT,9/5/1991,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2010,329,,Post-graduate,2011,3.77
689,Global MISM,Postgraduate,Mathematics,17/10/1992,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2012,324,,Baccalaureate,2013,3.59
690,PPM,Undergraduate,Mathematics,8/12/1994,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2006,326,,Diploma,2013,3.45
691,MSIT,Postgraduate,IT,25/09/1994,Male,India,India,India,GRE,Part-time,External,India,Hindi,2012,335,,Baccalaureate,2011,3.45
692,MSIT,Postgraduate,Public Administration,8/10/1988,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2008,307,,Baccalaureate,2011,3.56
693,MISM,Undergraduate,Medicine,23/09/1982,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2008,314,Disability,Professional Certification,2012,3.46
694,MSIT,Postgraduate,Computer Science,12/10/1988,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2006,323,,Baccalaureate,2010,3.6
695,PPM,Postgraduate,IT,28/04/1989,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2011,325,Women in non-traditional areas,Baccalaureate,2011,3.46
696,PPM,Postgraduate,Public Administration,10/5/1983,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2007,302,Regional/ Remote,Baccalaureate,2011,3.38
697,MSIT,Undergraduate,Public Administration,8/12/1990,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2006,324,low-income,Post-graduate,2010,3.81
698,Global PPM,Postgraduate,Computer Science,24/12/1991,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2012,336,,Professional Certification,2013,3.93
699,Global PPM,Postgraduate,Psychology,10/5/1982,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2012,326,Disability,Diploma,2014,3.22
700,Global PPM,Undergraduate,Computer Science,5/1/1984,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2009,303,,Professional Certification,2011,3.42
701,MSIT,Postgraduate,IT,1/4/1994,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2005,306,Disability,Post-graduate,2012,3.59
702,PPM,Postgraduate,Public Administration,28/10/1993,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2007,319,Women in non-traditional areas,Diploma,2013,3.59
703,MSIT,Undergraduate,Computer Science,20/03/1993,Male,India,India,India,GRE,Part-time,External,India,Hindi,2007,314,Women in non-traditional areas,Post-graduate,2010,3.61
704,MISM,Postgraduate,Psychology,18/05/1990,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,301,low-income,Diploma,2012,3.83
705,MSIT,Postgraduate,Mathematics,7/3/1995,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2011,335,,Diploma,2010,3.47
706,MSIT,Postgraduate,Public Administration,22/08/1993,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2007,313,,Baccalaureate,2012,3.79
707,MISM,Undergraduate,IT,20/06/1997,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2009,340,,Professional Certification,2014,3.83
708,Global PPM,Undergraduate,Medicine,25/04/1982,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2006,330,,Professional Certification,2014,3.79
709,MSIT,Undergraduate,Psychology,24/07/1988,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,338,,Baccalaureate,2010,3.52
710,MSIT,Postgraduate,Mathematics,24/06/1982,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2011,308,,Professional Certification,2011,3.97
711,Global MISM,Postgraduate,Medicine,2/8/1994,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2010,308,,Baccalaureate,2013,3.78
712,MISM,Postgraduate,Computer Science,15/04/1990,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,305,Disability,Professional Certification,2012,3.88
713,MSIT,Undergraduate,IT,3/2/1981,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2006,337,Women in non-traditional areas,Post-graduate,2010,3.58
714,MISM,Postgraduate,Psychology,23/12/1992,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2011,322,,Baccalaureate,2014,3.21
715,Global MISM,Postgraduate,Medicine,22/07/1995,Male,India,India,India,GRE,Full-time,External,India,Hindi,2007,326,,Post-graduate,2014,3.99
716,MISM,Postgraduate,IT,8/10/1987,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2009,326,,Diploma,2014,3.79
717,PPM,Undergraduate,Mathematics,28/09/1983,Male,India,India,India,GRE,Full-time,External,India,Hindi,2007,302,,Post-graduate,2011,3.45
718,PPM,Undergraduate,Psychology,16/11/1992,Female,India,India,India,GRE,Full-time,External,India,Hindi,2006,329,Women in non-traditional areas,Professional Certification,2014,3.29
719,MISM,Undergraduate,Public Administration,18/08/1981,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2004,314,,Baccalaureate,2014,3.67
720,Global PPM,Postgraduate,Medicine,29/12/1981,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2006,316,,Baccalaureate,2011,3.34
721,PPM,Postgraduate,IT,29/07/1997,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2007,307,,Baccalaureate,2012,3.39
722,PPM,Undergraduate,IT,24/07/1991,Female,India,India,India,GRE,Part-time,External,India,Hindi,2010,313,,Diploma,2013,3.98
723,MSIT,Postgraduate,Computer Science,12/4/1993,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2010,300,Disability,Post-graduate,2011,3.64
724,MISM,Postgraduate,Public Administration,1/8/1985,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2005,315,,Diploma,2013,3.27
725,MSIT,Undergraduate,Computer Science,19/11/1989,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2008,336,Women in non-traditional areas,Professional Certification,2012,3.47
726,Global MISM,Undergraduate,Public Administration,11/1/1981,Male,India,India,India,GRE,Full-time,External,India,Hindi,2006,308,,Professional Certification,2012,4
727,Global MISM,Undergraduate,Public Administration,27/11/1988,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2011,339,,Professional Certification,2010,3.4
728,MISM,Postgraduate,Psychology,24/08/1993,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,325,,Diploma,2014,3.31
729,MSIT,Undergraduate,Computer Science,2/1/1993,Male,India,India,India,GRE,Full-time,External,India,Hindi,2009,327,,Baccalaureate,2013,3.37
730,MISM,Postgraduate,Medicine,28/11/1990,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2010,339,Disability,Professional Certification,2010,3.38
731,PPM,Postgraduate,Computer Science,25/12/1983,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2010,326,,Professional Certification,2014,3.32
732,Global MISM,Undergraduate,Medicine,5/4/1995,Female,India,India,India,GRE,Full-time,External,India,Hindi,2007,301,Women in non-traditional areas,Post-graduate,2012,3.42
733,PPM,Undergraduate,Mathematics,11/4/1986,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2012,330,,Diploma,2011,3.89
734,MISM,Postgraduate,Medicine,14/12/1995,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,325,low-income,Diploma,2013,3.36
735,Global MISM,Postgraduate,Medicine,24/09/1992,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2008,318,,Professional Certification,2013,3.97
736,PPM,Postgraduate,Psychology,22/05/1994,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2006,318,Regional/ Remote,Post-graduate,2013,3.99
737,MSIT,Undergraduate,Medicine,20/08/1988,Male,India,India,India,GRE,Full-time,External,India,Hindi,2008,301,,Diploma,2011,3.78
738,Global PPM,Undergraduate,Mathematics,30/10/1997,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2010,338,,Post-graduate,2011,3.86
739,MISM,Postgraduate,IT,1/12/1994,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2007,325,,Diploma,2011,3.9
740,MISM,Undergraduate,Medicine,22/07/1986,Male,India,India,India,GRE,Full-time,External,India,Hindi,2010,302,,Baccalaureate,2014,3.27
741,MSIT,Undergraduate,Mathematics,11/2/1988,Male,India,India,India,GRE,Part-time,External,India,Hindi,2004,304,Women in non-traditional areas,Post-graduate,2011,3.54
742,Global PPM,Undergraduate,Public Administration,25/01/1983,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2004,306,,Diploma,2012,3.46
743,Global MISM,Undergraduate,Computer Science,7/5/1992,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2012,324,,Post-graduate,2013,3.83
744,MISM,Postgraduate,IT,6/4/1980,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2004,309,,Professional Certification,2014,3.91
745,PPM,Postgraduate,Public Administration,30/09/1982,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2009,339,,Post-graduate,2013,3.72
746,MISM,Postgraduate,Public Administration,25/01/1985,Male,India,India,India,GRE,Full-time,External,India,Hindi,2007,318,,Baccalaureate,2010,3.39
747,PPM,Undergraduate,Medicine,30/08/1994,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2012,339,,Diploma,2012,3.87
748,Global PPM,Undergraduate,Computer Science,23/11/1990,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2004,340,,Diploma,2010,3.75
749,Global PPM,Postgraduate,Medicine,3/10/1983,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2011,326,Disability,Diploma,2010,3.9
750,Global MISM,Postgraduate,Public Administration,21/03/1992,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2009,323,Disability,Baccalaureate,2014,3.43
751,MSIT,Postgraduate,Computer Science,21/08/1995,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2007,333,,Post-graduate,2010,3.68
752,MSIT,Undergraduate,Public Administration,4/12/1984,Female,India,India,India,GRE,Full-time,External,India,Hindi,2007,333,,Baccalaureate,2010,3.5
753,PPM,Postgraduate,Medicine,20/09/1991,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,327,Women in non-traditional areas,Baccalaureate,2014,3.21
754,Global MISM,Postgraduate,Mathematics,30/06/1992,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2012,300,Women in non-traditional areas,Post-graduate,2012,3.58
755,Global MISM,Undergraduate,Psychology,18/10/1994,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2005,323,,Diploma,2014,3.82
756,PPM,Postgraduate,IT,6/1/1994,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2004,321,,Post-graduate,2011,3.29
757,PPM,Undergraduate,Medicine,17/02/1993,Female,India,India,India,GRE,Full-time,External,India,Hindi,2005,300,Women in non-traditional areas,Professional Certification,2010,3.86
758,PPM,Undergraduate,Computer Science,15/08/1989,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2011,305,,Post-graduate,2011,3.87
759,MSIT,Undergraduate,Mathematics,12/12/1982,Female,India,India,India,GRE,Part-time,External,India,Hindi,2008,340,,Professional Certification,2012,3.21
760,Global PPM,Undergraduate,Medicine,23/07/1981,Male,India,India,India,GRE,Part-time,External,India,Hindi,2011,305,,Baccalaureate,2012,3.91
761,MSIT,Postgraduate,Public Administration,23/01/1989,Female,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2007,322,Women in non-traditional areas,Professional Certification,2013,3.21
762,Global MISM,Undergraduate,Medicine,28/10/1987,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,314,Disability,Post-graduate,2011,3.21
763,Global MISM,Postgraduate,IT,26/12/1995,Male,India,India,India,GRE,Part-time,Internal,India,Hindi,2005,330,,Post-graduate,2012,3.92
764,Global MISM,Postgraduate,Medicine,18/11/1987,Female,India,India,India,GRE,Full-time,External,India,Hindi,2011,315,Regional/ Remote,Diploma,2014,3.4
765,MSIT,Postgraduate,Computer Science,10/5/1990,Male,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2010,330,,Diploma,2010,3.99
766,MISM,Postgraduate,Mathematics,28/01/1990,Female,India,India,India,GRE,Full-time,Internal,India,Hindi,2010,316,Regional/ Remote,Professional Certification,2013,3.21
767,PPM,Postgraduate,IT,7/5/1992,Male,India,India,India,GRE,Full-time,Multi-modal,India,Hindi,2011,319,Regional/ Remote,Diploma,2012,3.62
768,PPM,Postgraduate,Public Administration,29/10/1981,Male,India,India,India,GRE,Part-time,External,India,Hindi,2010,306,,Baccalaureate,2011,3.33
769,MISM,Postgraduate,Mathematics,8/9/1989,Male,India,India,India,GRE,Full-time,External,India,Hindi,2009,321,Regional/ Remote,Post-graduate,2010,3.94
770,Global MISM,Postgraduate,Mathematics,29/06/1992,Female,India,India,India,GRE,Full-time,External,India,Hindi,2008,331,,Diploma,2012,3.64
771,MISM,Postgraduate,Mathematics,29/07/1987,Male,India,India,India,GRE,Full-time,Internal,India,Hindi,2005,327,,Diploma,2014,3.81
772,MSIT,Postgraduate,Medicine,26/08/1988,Female,India,India,India,GRE,Part-time,Internal,India,Hindi,2004,324,,Professional Certification,2011,3.51
773,MISM,Postgraduate,Psychology,27/08/1996,Female,India,India,India,GRE,Part-time,Multi-modal,India,Hindi,2006,310,,Baccalaureate,2011,3.96
774,Global MISM,Postgraduate,Medicine,27/01/1980,Female,India,India,India,GRE,Full-time,External,India,English,2011,338,Women in non-traditional areas,Post-graduate,2011,3.65
775,Global MISM,Postgraduate,IT,16/12/1996,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2006,327,Regional/ Remote,Baccalaureate,2013,3.47
776,Global PPM,Postgraduate,Psychology,31/12/1983,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2007,318,,Diploma,2011,3.9
777,Global PPM,Postgraduate,Psychology,27/11/1986,Female,India,India,India,GRE,Full-time,External,India,English,2011,313,Disability,Professional Certification,2011,3.31
778,Global MISM,Postgraduate,Medicine,19/04/1982,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2008,314,,Post-graduate,2012,3.96
779,Global MISM,Postgraduate,Psychology,10/1/1981,Female,India,India,India,GRE,Full-time,Internal,India,English,2009,329,,Baccalaureate,2014,3.98
780,Global PPM,Postgraduate,Computer Science,11/5/1995,Male,India,India,India,GRE,Part-time,Internal,India,English,2011,305,low-income,Diploma,2012,3.38
781,MISM,Postgraduate,Psychology,9/3/1994,Male,India,India,India,GRE,Full-time,External,India,English,2009,340,,Baccalaureate,2014,3.7
782,MSIT,Postgraduate,Public Administration,10/1/1982,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2012,337,,Professional Certification,2014,3.85
783,MSIT,Postgraduate,Computer Science,13/07/1987,Female,India,India,India,GRE,Full-time,Internal,India,English,2004,329,,Diploma,2012,3.87
784,Global MISM,Postgraduate,Public Administration,6/12/1982,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2010,326,,Post-graduate,2013,3.4
785,Global MISM,Postgraduate,Computer Science,25/07/1988,Male,India,India,India,GRE,Full-time,Internal,India,English,2012,340,,Post-graduate,2014,3.36
786,Global PPM,Postgraduate,IT,20/09/1992,Female,India,India,India,GRE,Part-time,Internal,India,English,2010,338,Regional/ Remote,Professional Certification,2011,3.65
787,PPM,Postgraduate,IT,18/10/1997,Male,India,India,India,GRE,Full-time,Internal,India,English,2005,333,,Diploma,2011,3.41
788,MSIT,Postgraduate,Medicine,16/09/1985,Female,India,India,India,GRE,Part-time,External,India,English,2012,311,,Professional Certification,2012,3.76
789,MSIT,Postgraduate,Public Administration,9/7/1992,Female,India,India,India,GRE,Full-time,External,India,English,2012,316,,Professional Certification,2013,3.75
790,MISM,Postgraduate,Psychology,27/08/1989,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2004,318,,Post-graduate,2014,3.35
791,Global MISM,Postgraduate,IT,5/1/1995,Male,India,India,India,GRE,Part-time,Internal,India,English,2006,303,Regional/ Remote,Professional Certification,2013,3.28
792,MSIT,Postgraduate,IT,29/05/1996,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2010,329,,Post-graduate,2012,3.28
793,Global PPM,Postgraduate,Medicine,19/12/1988,Female,India,India,India,GRE,Full-time,Internal,India,English,2008,316,,Diploma,2011,3.43
794,Global PPM,Postgraduate,Computer Science,31/12/1990,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2012,340,,Diploma,2014,3.97
795,Global MISM,Postgraduate,Psychology,9/4/1989,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2005,333,,Diploma,2012,3.5
796,Global PPM,Postgraduate,Computer Science,18/03/1983,Female,India,India,India,GRE,Part-time,Internal,India,English,2006,304,,Professional Certification,2012,3.96
797,Global PPM,Postgraduate,Medicine,31/08/1981,Female,India,India,India,GRE,Full-time,External,India,English,2007,331,,Baccalaureate,2010,3.41
798,Global MISM,Postgraduate,IT,6/9/1996,Male,India,India,India,GRE,Full-time,Internal,India,English,2006,335,,Diploma,2012,3.53
799,Global PPM,Postgraduate,Computer Science,16/11/1983,Female,India,India,India,GRE,Full-time,External,India,English,2008,303,,Baccalaureate,2012,3.47
800,Global PPM,Postgraduate,Public Administration,11/6/1992,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2011,318,,Professional Certification,2010,3.45
801,MISM,Postgraduate,Medicine,1/7/1993,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2004,312,,Professional Certification,2013,3.67
802,Global MISM,Postgraduate,Computer Science,7/7/1995,Male,India,India,India,GRE,Full-time,External,India,English,2007,303,,Professional Certification,2014,3.94
803,Global MISM,Postgraduate,Medicine,8/12/1989,Male,India,India,India,GRE,Part-time,External,India,English,2010,323,,Post-graduate,2013,3.38
804,Global MISM,Postgraduate,Computer Science,11/6/1993,Female,India,India,India,GRE,Full-time,Internal,India,English,2012,321,,Baccalaureate,2010,3.21
805,Global PPM,Postgraduate,Psychology,14/10/1989,Female,India,India,India,GRE,Part-time,Multi-modal,India,English,2004,302,Disability,Diploma,2013,3.82
806,PPM,Postgraduate,Psychology,3/2/1989,Female,India,India,India,GRE,Part-time,External,India,English,2010,308,,Diploma,2010,3.31
807,MSIT,Postgraduate,Computer Science,6/9/1987,Female,India,India,India,GRE,Part-time,Internal,India,English,2006,317,,Diploma,2010,3.35
808,Global MISM,Postgraduate,IT,29/12/1990,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2008,302,Women in non-traditional areas,Post-graduate,2014,3.66
809,Global PPM,Postgraduate,IT,5/6/1994,Male,India,India,India,GRE,Part-time,Internal,India,English,2007,319,Regional/ Remote,Diploma,2014,3.47
810,MISM,Postgraduate,Public Administration,25/10/1991,Male,India,India,India,GRE,Full-time,Internal,India,English,2005,301,,Diploma,2014,3.69
811,MSIT,Postgraduate,Mathematics,31/07/1993,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2010,309,,Post-graduate,2011,3.72
812,Global MISM,Postgraduate,Public Administration,31/03/1995,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2010,303,,Baccalaureate,2011,3.56
813,MISM,Postgraduate,IT,12/2/1980,Male,India,India,India,GRE,Part-time,External,India,English,2006,338,,Baccalaureate,2011,3.63
814,MSIT,Postgraduate,IT,22/04/1985,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2005,301,Women in non-traditional areas,Post-graduate,2014,3.44
815,Global PPM,Postgraduate,Mathematics,1/10/1988,Female,India,India,India,GRE,Part-time,Internal,India,English,2005,340,,Baccalaureate,2012,3.39
816,Global PPM,Postgraduate,Psychology,1/9/1990,Male,India,India,India,GRE,Full-time,Internal,India,English,2004,306,,Baccalaureate,2012,3.57
817,MSIT,Postgraduate,IT,30/12/1980,Female,India,India,India,GRE,Full-time,Multi-modal,India,English,2008,306,,Baccalaureate,2010,3.36
818,Global MISM,Postgraduate,Medicine,23/10/1980,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2004,305,,Baccalaureate,2012,3.83
819,Global PPM,Postgraduate,Public Administration,15/03/1987,Female,India,India,India,GRE,Full-time,Internal,India,English,2006,327,,Professional Certification,2010,3.95
820,MSIT,Postgraduate,Computer Science,16/08/1991,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2010,321,,Diploma,2011,3.78
821,Global MISM,Postgraduate,Mathematics,5/11/1987,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2009,305,,Diploma,2011,3.84
822,Global MISM,Postgraduate,Mathematics,30/10/1997,Male,India,India,India,GRE,Part-time,Internal,India,English,2007,305,Disability,Professional Certification,2010,3.94
823,MISM,Postgraduate,Public Administration,10/9/1985,Male,India,India,India,GRE,Full-time,External,India,English,2008,332,,Baccalaureate,2014,3.41
824,MSIT,Postgraduate,IT,31/05/1987,Male,India,India,India,GRE,Full-time,External,India,English,2004,325,,Baccalaureate,2010,3.83
825,MISM,Postgraduate,Public Administration,6/6/1994,Female,India,India,India,GRE,Part-time,Internal,India,English,2006,319,,Professional Certification,2010,3.32
826,PPM,Postgraduate,Mathematics,10/3/1981,Male,India,India,India,GRE,Part-time,Internal,India,English,2008,300,Disability,Professional Certification,2010,3.33
827,PPM,Postgraduate,Computer Science,31/03/1990,Female,India,India,India,GRE,Full-time,Internal,India,English,2008,327,,Post-graduate,2014,3.52
828,MISM,Postgraduate,Public Administration,15/08/1987,Female,India,India,India,GRE,Full-time,Internal,India,English,2012,318,Regional/ Remote,Post-graduate,2010,3.9
829,MSIT,Postgraduate,Computer Science,27/10/1991,Male,India,India,India,GRE,Full-time,Internal,India,English,2005,335,,Post-graduate,2012,3.31
830,Global MISM,Postgraduate,Computer Science,13/02/1997,Female,India,India,India,GRE,Full-time,Internal,India,English,2010,325,Regional/ Remote,Baccalaureate,2012,3.44
831,PPM,Postgraduate,Computer Science,16/03/1982,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2007,338,,Baccalaureate,2012,3.51
832,MSIT,Postgraduate,IT,1/3/1983,Male,India,India,India,GRE,Full-time,External,India,English,2007,316,,Post-graduate,2013,4
833,MSIT,Postgraduate,Computer Science,1/1/1989,Male,India,India,India,GRE,Part-time,External,India,English,2006,317,,Professional Certification,2010,3.48
834,Global MISM,Postgraduate,Computer Science,24/10/1981,Female,India,India,India,GRE,Part-time,External,India,English,2006,300,,Professional Certification,2011,3.75
835,Global MISM,Postgraduate,Mathematics,8/10/1994,Female,India,India,India,GRE,Full-time,Internal,India,English,2004,334,,Post-graduate,2014,3.78
836,Global PPM,Postgraduate,IT,8/11/1987,Male,India,India,India,GRE,Full-time,Internal,India,English,2007,317,,Baccalaureate,2010,3.41
837,MSIT,Postgraduate,Mathematics,13/08/1986,Male,India,India,India,GRE,Full-time,Internal,India,English,2008,306,,Professional Certification,2011,3.75
838,Global PPM,Postgraduate,Psychology,19/01/1996,Male,India,India,India,GRE,Full-time,Internal,India,English,2011,313,,Professional Certification,2010,3.2
839,PPM,Postgraduate,IT,12/5/1981,Female,India,India,India,GRE,Part-time,External,India,English,2004,304,,Professional Certification,2012,3.52
840,MISM,Postgraduate,Medicine,17/01/1995,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2009,319,,Diploma,2010,3.86
841,PPM,Postgraduate,Psychology,23/10/1989,Male,India,India,India,GRE,Full-time,External,India,English,2010,309,,Post-graduate,2011,3.75
842,MISM,Postgraduate,Medicine,23/02/1985,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2009,339,,Professional Certification,2011,3.74
843,MSIT,Postgraduate,Computer Science,24/08/1996,Male,India,India,India,GRE,Full-time,Multi-modal,India,English,2006,337,low-income,Post-graduate,2010,3.43
844,MSIT,Postgraduate,Public Administration,6/1/1985,Male,India,India,India,GRE,Part-time,Internal,India,English,2010,303,,Diploma,2011,3.7
845,MSIT,Postgraduate,Medicine,31/08/1994,Female,India,India,India,GRE,Part-time,Multi-modal,India,English,2011,338,,Diploma,2013,3.8
846,PPM,Postgraduate,Mathematics,27/06/1984,Female,India,India,India,GRE,Full-time,Internal,India,English,2005,322,,Professional Certification,2014,3.82
847,Global MISM,Postgraduate,Medicine,5/2/1987,Male,India,India,India,GRE,Part-time,Multi-modal,India,English,2006,317,,Baccalaureate,2013,3.24
848,Global PPM,Postgraduate,Psychology,10/3/1989,Female,India,India,India,GRE,Full-time,Internal,India,English,2011,331,Disability,Post-graduate,2011,3.71
849,MISM,Postgraduate,Computer Science,23/01/1983,Female,India,India,India,GRE,Part-time,Internal,India,English,2005,318,,Post-graduate,2010,3.88
850,MISM,Postgraduate,Medicine,10/11/1992,Male,India,India,India,GRE,Part-time,External,India,English,2011,338,,Diploma,2012,3.7
851,MSIT,Postgraduate,Medicine,20/09/1984,Male,India,India,India,GRE,Part-time,Internal,India,English,2007,324,,Professional Certification,2012,3.94
852,Global MISM,Postgraduate,IT,30/05/1992,Male,India,India,India,GRE,Full-time,Internal,India,English,2010,305,,Professional Certification,2014,3.44
853,MISM,Postgraduate,Computer Science,1/12/1995,Male,India,India,India,GRE,Part-time,Internal,India,English,2011,316,low-income,Diploma,2013,3.31
854,MSIT,Postgraduate,Computer Science,14/11/1994,Female,India,India,India,GRE,Part-time,External,India,English,2008,308,low-income,Professional Certification,2011,3.82
855,MSIT,Postgraduate,IT,28/05/1997,Female,India,India,India,GRE,Part-time,Multi-modal,India,English,2007,315,Regional/ Remote,Post-graduate,2012,3.23
856,Global PPM,Postgraduate,Public Administration,4/3/1983,Female,India,India,India,GRE,Part-time,External,India,English,2007,323,Disability,Professional Certification,2014,3.69
